Estimation;EKF;;;;;
3.035;;;;2.80;0.89;94.90
3.040;;;;-2.33;-2.22;96.26
3.045;;;;2.28;0.69;90.92
3.050;;;;1.97;0.18;90.28
3.055;;;;-0.16;-3.23;95.63
3.060;;;;-0.17;-1.55;94.23
3.065;;;;-2.23;-3.51;95.01
3.070;;;;0.38;-1.26;92.76
3.075;;;;0.82;-3.75;97.76
3.080;;;;-1.96;-1.48;96.29
3.085;;;;1.78;-2.65;97.33
3.090;;;;-0.49;-3.86;96.21
3.095;;;;0.68;-0.41;96.31
3.100;;;;2.87;-3.19;94.65
3.105;;;;1.16;-1.87;92.96
3.110;;;;-0.16;-0.97;95.71
3.115;;;;3.18;-4.27;97.27
3.120;;;;2.08;1.27;93.71
3.125;;;;2.29;-1.02;94.59
3.130;;;;0.19;-2.02;94.92
3.135;;;;2.82;-1.54;94.95
3.140;;;;-0.92;-1.83;94.99
3.145;;;;3.67;-0.62;92.60
3.150;;;;0.81;-1.83;91.72
3.155;;;;2.12;0.28;92.45
3.160;;;;-1.09;1.18;93.82
3.165;;;;-0.71;1.32;96.38
3.170;;;;-0.32;-4.35;102.09
3.175;;;;-1.25;-1.63;97.66
3.180;;;;1.12;0.23;96.13
3.185;;;;-2.95;-2.92;102.47
3.190;;;;-0.39;-1.46;100.09
3.195;;;;-0.69;-1.19;101.27
3.200;;;;4.76;-3.14;98.68
3.205;;;;-1.50;-1.42;99.54
3.210;;;;4.01;-0.65;99.84
3.215;;;;1.01;0.15;97.11
3.220;;;;1.58;-1.31;99.18
3.225;;;;0.24;-3.76;102.36
3.230;;;;1.76;0.76;95.71
3.235;;;;-0.41;-0.01;100.55
3.240;;;;-0.11;0.27;98.34
3.245;;;;-0.22;-2.26;98.36
3.250;;;;-1.34;1.27;97.43
3.255;;;;1.07;1.92;95.84
3.260;;;;-0.63;-0.54;98.75
3.265;;;;1.10;-1.73;96.09
3.270;;;;-0.86;-1.75;99.31
3.275;;;;1.44;-3.61;100.95
3.280;;;;2.83;0.89;97.57
3.285;;;;1.91;1.29;99.31
3.290;;;;-1.06;1.12;95.31
3.295;;;;3.04;4.28;91.70
3.300;;;;4.79;0.93;95.25
3.305;;;;-1.87;-0.54;100.21
3.310;;;;-0.26;-2.72;104.18
3.315;;;;1.56;-0.27;101.40
3.320;;;;1.42;-2.09;99.71
3.325;;;;1.69;-1.27;99.58
3.330;;;;0.15;2.56;101.22
3.335;;;;-0.62;1.49;98.42
3.340;;;;1.38;-3.71;99.39
3.345;;;;-1.10;-0.31;98.91
3.350;;;;-0.47;-1.87;100.18
3.355;;;;1.04;-1.17;98.33
3.360;;;;3.11;-0.52;100.16
3.365;;;;-2.07;0.31;104.22
3.370;;;;2.54;0.90;100.65
3.375;;;;1.39;-0.71;99.35
3.380;;;;2.46;2.56;100.29
3.385;;;;2.75;0.76;100.42
3.390;;;;1.42;-3.56;103.05
3.395;;;;-0.09;2.47;100.82
3.400;;;;3.26;-0.97;102.69
3.405;;;;2.18;-1.46;102.74
3.410;;;;0.69;0.46;100.86
3.415;;;;1.11;-2.52;102.35
3.420;;;;1.24;-1.94;102.33
3.425;;;;-1.32;1.67;102.18
3.430;;;;0.85;-2.60;101.16
3.435;;;;1.02;1.15;102.41
3.440;;;;2.04;2.89;102.23
3.445;;;;0.64;1.26;102.56
3.450;;;;1.21;-1.28;105.86
3.455;;;;-2.58;-1.59;107.85
3.460;;;;-1.29;-1.52;104.28
3.465;;;;-2.84;-4.87;108.63
3.470;;;;1.66;-2.26;108.74
3.475;;;;-2.40;0.32;107.35
3.480;;;;1.67;-1.21;103.76
3.485;;;;-2.01;-2.69;106.71
3.490;;;;-1.76;0.62;103.04
3.495;;;;2.05;-2.18;106.23
3.500;;;;2.16;-2.49;109.20
3.505;;;;-2.25;-3.84;109.35
3.510;;;;0.21;-3.50;109.63
3.515;;;;2.23;-4.17;106.53
3.520;;;;1.33;1.36;103.72
3.525;;;;3.80;-2.02;102.05
3.530;;;;0.56;-2.32;107.53
3.535;;;;1.91;-1.92;108.78
3.540;;;;2.03;-1.08;107.22
3.545;;;;1.58;-0.09;106.69
3.550;;;;-1.75;0.57;105.17
3.555;;;;3.61;3.42;102.88
3.560;;;;1.97;-2.26;111.04
3.565;;;;-2.68;-0.89;108.89
3.570;;;;1.85;-2.74;105.98
3.575;;;;1.26;0.78;105.71
3.580;;;;2.94;-0.66;107.76
3.585;;;;1.40;-3.10;111.05
3.590;;;;2.33;0.13;107.88
3.595;;;;1.01;-2.66;108.36
3.600;;;;-1.10;-1.78;109.72
3.605;;;;-0.12;-2.30;109.30
3.610;;;;0.74;-1.35;109.29
3.615;;;;-0.27;-1.08;109.10
3.620;;;;0.94;-2.48;111.39
3.625;;;;2.80;0.50;107.77
3.630;;;;-0.83;0.32;112.00
3.635;;;;2.18;-4.46;113.76
3.640;;;;1.31;1.83;106.51
3.645;;;;-0.18;-0.70;109.98
3.650;;;;0.43;-3.17;111.64
3.655;;;;0.92;-1.10;112.76
3.660;;;;1.74;-0.45;109.11
3.665;;;;-1.67;-3.34;114.18
3.670;;;;-1.85;-2.92;113.53
3.675;;;;-1.43;-3.19;115.99
3.680;;;;0.06;-0.23;114.12
3.685;;;;3.16;-0.41;111.13
3.690;;;;-2.55;-0.69;112.97
3.695;;;;0.99;-5.12;116.28
3.700;;;;-0.41;0.67;113.36
3.705;;;;0.18;-5.85;114.13
3.710;;;;2.94;1.68;110.57
3.715;;;;2.26;-2.76;112.93
3.720;;;;0.44;-0.38;112.38
3.725;;;;1.49;0.28;112.28
3.730;;;;2.01;-1.34;112.31
3.735;;;;1.22;-1.59;110.40
3.740;;;;-0.85;0.03;113.64
3.745;;;;0.62;-0.85;114.70
3.750;;;;0.25;-4.97;115.46
3.755;;;;2.64;0.69;114.49
3.760;;;;1.28;-1.83;115.77
3.765;;;;2.19;-0.29;108.98
3.770;;;;1.07;-2.03;113.57
3.775;;;;-0.32;-0.13;111.74
3.780;;;;1.23;0.46;111.18
3.785;;;;0.89;-2.87;114.82
3.790;;;;1.35;-1.11;114.15
3.795;;;;1.90;-1.01;115.17
3.800;;;;2.85;-1.20;113.03
3.805;;;;0.37;1.42;111.32
3.810;;;;-1.71;0.17;114.10
3.815;;;;4.02;0.40;111.73
3.820;;;;3.48;-0.00;111.93
3.825;;;;2.54;-2.36;113.32
3.830;;;;0.13;-1.48;115.68
3.835;;;;4.91;-0.30;113.63
3.840;;;;-0.07;-5.16;119.56
3.845;;;;0.86;1.21;119.15
3.850;;;;-0.37;-2.58;121.42
3.855;;;;1.32;0.10;117.64
3.860;;;;0.39;1.03;115.53
3.865;;;;4.68;-1.27;114.62
3.870;;;;1.52;-2.77;115.17
3.875;;;;-0.38;-0.89;116.25
3.880;;;;2.68;-1.05;118.62
3.885;;;;-0.15;2.48;116.18
3.890;;;;0.51;-3.53;118.17
3.895;;;;0.82;-2.46;115.47
3.900;;;;1.21;0.51;116.38
3.905;;;;0.77;-0.98;119.03
3.910;;;;1.59;-1.38;117.63
3.915;;;;-0.16;-2.23;120.36
3.920;;;;-2.53;-2.26;123.30
3.925;;;;3.66;-0.19;119.23
3.930;;;;-2.08;-3.14;119.87
3.935;;;;0.60;-3.32;119.85
3.940;;;;-0.14;-3.60;121.95
3.945;;;;0.28;-4.05;121.76
3.950;;;;0.58;-2.00;119.79
3.955;;;;0.01;0.67;117.43
3.960;;;;-1.20;-2.63;120.13
3.965;;;;1.37;-0.64;118.60
3.970;;;;-1.93;-1.58;120.90
3.975;;;;0.04;2.92;116.51
3.980;;;;3.29;-1.16;118.10
3.985;;;;0.84;-2.10;119.64
3.990;;;;-2.17;-2.46;121.89
3.995;;;;3.06;-3.14;118.90
4.000;;;;2.90;-1.36;120.77
4.005;;;;-0.68;-1.90;123.60
4.010;;;;0.07;-2.38;120.06
4.015;;;;1.43;-2.44;122.69
4.020;;;;1.20;-1.49;123.41
4.025;;;;2.16;0.07;119.66
4.030;;;;0.93;0.39;120.21
4.035;;;;1.44;-2.75;122.55
4.040;;;;-1.88;-2.05;124.08
4.045;;;;1.03;-3.43;124.76
4.050;;;;-0.58;-3.86;125.39
4.055;;;;1.02;2.34;118.70
4.060;;;;1.99;0.40;121.60
4.065;;;;-4.16;-0.69;124.14
4.070;;;;0.07;-2.05;127.58
4.075;;;;1.42;-1.37;123.35
4.080;;;;0.50;3.73;118.00
4.085;;;;0.07;-1.41;123.53
4.090;;;;0.43;3.32;122.25
4.095;;;;1.19;0.95;120.03
4.100;;;;3.08;-0.18;122.77
4.105;;;;-0.43;-3.23;127.35
4.110;;;;1.10;-3.39;126.18
4.115;;;;0.27;-4.98;130.02
4.120;;;;0.87;-3.05;128.60
4.125;;;;-0.14;0.74;126.99
4.130;;;;-1.58;0.76;126.76
4.135;;;;-1.38;-4.26;124.63
4.140;;;;-0.15;-0.89;128.29
4.145;;;;2.12;0.58;119.65
4.150;;;;1.54;0.24;123.31
4.155;;;;3.57;1.66;122.00
4.160;;;;3.82;-1.56;124.92
4.165;;;;0.53;-2.34;125.99
4.170;;;;0.32;-3.20;125.24
4.175;;;;2.11;-2.16;124.29
4.180;;;;0.24;0.94;125.49
4.185;;;;-1.81;-5.53;130.34
4.190;;;;1.46;-2.39;128.57
4.195;;;;0.00;-1.73;129.25
4.200;;;;-1.05;0.29;126.72
4.205;;;;-1.70;-1.40;128.75
4.210;;;;1.11;-2.97;125.41
4.215;;;;0.11;-3.36;127.08
4.220;;;;1.70;-4.02;128.68
4.225;;;;2.05;1.24;123.96
4.230;;;;1.52;0.39;125.46
4.235;;;;-0.73;1.68;126.50
4.240;;;;-0.51;-0.23;125.39
4.245;;;;0.49;-2.16;129.79
4.250;;;;1.63;-4.80;135.11
4.255;;;;0.05;-3.40;135.07
4.260;;;;-0.45;-1.86;129.58
4.265;;;;-0.48;-1.61;130.85
4.270;;;;-1.53;-2.11;129.72
4.275;;;;0.39;3.36;125.61
4.280;;;;0.27;-1.79;129.31
4.285;;;;0.16;-1.78;127.37
4.290;;;;1.96;-0.18;128.12
4.295;;;;0.66;-3.71;130.61
4.300;;;;0.79;-1.81;131.22
4.305;;;;-0.30;-1.18;129.17
4.310;;;;-3.39;-4.36;133.88
4.315;;;;2.26;-3.01;130.81
4.320;;;;1.54;-0.62;130.61
4.325;;;;1.55;-1.40;131.75
4.330;;;;3.84;0.39;130.26
4.335;;;;0.94;0.98;128.64
4.340;;;;1.25;-1.52;128.08
4.345;;;;5.19;2.32;127.50
4.350;;;;3.20;0.35;127.53
4.355;;;;2.53;-2.13;130.61
4.360;;;;-0.50;-1.59;132.04
4.365;;;;3.80;-3.70;131.98
4.370;;;;1.07;-1.63;131.43
4.375;;;;0.20;-1.67;132.94
4.380;;;;1.72;-3.24;135.40
4.385;;;;3.56;0.84;128.15
4.390;;;;0.98;0.27;129.70
4.395;;;;1.01;-2.26;132.87
4.400;;;;-1.79;-0.51;131.26
4.405;;;;1.80;-0.39;130.40
4.410;;;;-0.29;-2.04;131.27
4.415;;;;4.14;-0.44;132.89
4.420;;;;-2.13;-2.56;135.74
4.425;;;;-0.89;-2.64;135.69
4.430;;;;-0.05;-1.27;134.97
4.435;;;;0.83;-3.39;132.39
4.440;;;;-0.04;-0.45;134.90
4.445;;;;1.47;0.72;131.10
4.450;;;;-1.02;-0.11;134.23
4.455;;;;2.87;0.97;131.03
4.460;;;;-0.98;-1.39;135.97
4.465;;;;-0.19;-0.37;134.92
4.470;;;;-1.13;0.10;135.66
4.475;;;;-0.99;-1.69;136.95
4.480;;;;0.45;0.49;131.61
4.485;;;;4.38;-0.87;131.79
4.490;;;;1.36;-0.64;133.20
4.495;;;;-0.89;-0.56;135.07
4.500;;;;0.62;-1.69;133.99
4.505;;;;3.12;0.15;135.21
4.510;;;;3.42;-1.54;135.16
4.515;;;;1.76;-1.00;138.10
4.520;;;;-0.73;0.14;137.53
4.525;;;;-0.65;-1.46;135.74
4.530;;;;0.04;-1.82;136.11
4.535;;;;-0.72;0.01;134.77
4.540;;;;2.24;2.32;131.48
4.545;;;;2.45;1.62;131.93
4.550;;;;-0.95;-3.60;133.17
4.555;;;;3.89;-0.76;135.28
4.560;;;;0.16;1.04;136.18
4.565;;;;0.31;-0.96;137.24
4.570;;;;-0.27;0.37;136.13
4.575;;;;3.61;0.98;133.24
4.580;;;;4.64;0.21;131.63
4.585;;;;2.25;-0.78;137.18
4.590;;;;2.80;0.62;136.04
4.595;;;;-2.37;-0.94;140.44
4.600;;;;2.67;1.58;133.64
4.605;;;;2.09;-0.42;135.79
4.610;;;;1.60;-1.19;138.09
4.615;;;;-1.59;-0.77;138.80
4.620;;;;-0.25;-0.45;140.49
4.625;;;;2.49;-2.40;143.09
4.630;;;;-0.40;0.10;138.36
4.635;;;;-0.73;-0.22;144.96
4.640;;;;-0.37;0.36;140.61
4.645;;;;4.53;-0.61;134.96
4.650;;;;-0.05;0.80;135.85
4.655;;;;0.90;-2.74;139.24
4.660;;;;1.33;-0.47;139.05
4.665;;;;-0.48;-0.29;142.37
4.670;;;;1.01;-3.49;144.51
4.675;;;;0.64;-0.16;141.84
4.680;;;;-1.04;-0.00;142.37
4.685;;;;3.82;1.11;139.23
4.690;;;;2.11;1.00;138.87
4.695;;;;3.27;-1.45;138.98
4.700;;;;-1.02;-1.94;143.40
4.705;;;;-0.50;0.63;140.84
4.710;;;;0.13;-2.14;140.95
4.715;;;;0.30;-2.37;141.06
4.720;;;;2.11;1.59;140.53
4.725;;;;5.10;-0.77;139.48
4.730;;;;1.14;-0.23;140.73
4.735;;;;2.21;0.80;142.88
4.740;;;;0.31;1.10;140.07
4.745;;;;-0.06;1.60;138.59
4.750;;;;-1.30;-1.44;141.56
4.755;;;;-1.38;0.81;143.94
4.760;;;;-1.02;0.13;139.90
4.765;;;;0.61;-0.16;141.88
4.770;;;;-1.51;0.16;147.08
4.775;;;;1.21;-0.76;142.64
4.780;;;;-0.18;0.43;141.93
4.785;;;;3.79;-0.49;144.05
4.790;;;;1.21;-1.63;146.02
4.795;;;;0.41;-3.84;145.63
4.800;;;;-0.73;-0.93;147.35
4.805;;;;0.88;1.56;142.63
4.810;;;;1.40;1.85;142.58
4.815;;;;1.04;-0.54;144.68
4.820;;;;2.95;-4.17;143.68
4.825;;;;1.97;-1.05;143.75
4.830;;;;-0.62;0.07;145.73
4.835;;;;1.87;-1.24;146.28
4.840;;;;3.97;2.20;143.27
4.845;;;;1.82;2.05;143.67
4.850;;;;1.59;-0.04;144.94
4.855;;;;2.74;-0.44;143.98
4.860;;;;0.90;-2.77;145.49
4.865;;;;-1.39;-1.20;147.09
4.870;;;;1.21;-1.16;143.32
4.875;;;;0.62;-1.82;147.41
4.880;;;;-1.76;-2.51;150.22
4.885;;;;-0.45;-3.41;146.72
4.890;;;;3.45;1.61;146.45
4.895;;;;-0.87;-0.20;145.95
4.900;;;;3.34;2.27;140.89
4.905;;;;0.02;-2.44;149.43
4.910;;;;1.09;-2.48;147.55
4.915;;;;0.92;-0.91;144.91
4.920;;;;-0.75;-2.06;148.03
4.925;;;;-1.00;1.14;145.56
4.930;;;;-1.63;-1.51;151.22
4.935;;;;1.43;2.92;146.45
4.940;;;;0.73;-1.75;151.16
4.945;;;;-1.77;-1.73;148.85
4.950;;;;-2.69;-0.81;147.72
4.955;;;;-1.25;-2.13;151.78
4.960;;;;2.28;-1.97;149.02
4.965;;;;2.05;-2.33;146.55
4.970;;;;2.73;-1.09;146.65
4.975;;;;0.48;-1.53;147.52
4.980;;;;-0.32;-4.13;151.20
4.985;;;;-0.28;-1.24;153.56
4.990;;;;1.49;1.24;150.31
4.995;;;;1.83;-1.33;149.99
5.000;;;;-1.45;-3.46;151.70
5.005;;;;-0.49;-0.23;152.77
5.010;;;;-0.76;0.73;153.02
5.015;;;;-0.25;-2.74;152.27
5.020;;;;1.19;-2.68;151.07
5.025;;;;0.74;-0.04;150.90
5.030;;;;1.76;-0.38;151.99
5.035;;;;3.61;0.35;151.73
5.040;;;;1.10;1.68;147.46
5.045;;;;3.00;-1.00;147.66
5.050;;;;3.72;1.18;144.65
5.055;;;;4.75;-2.61;149.94
5.060;;;;-1.48;-2.26;154.47
5.065;;;;-3.68;-1.89;155.81
5.070;;;;1.07;-3.13;151.77
5.075;;;;-1.91;-4.23;155.84
5.080;;;;-2.14;-2.39;156.57
5.085;;;;-0.29;0.18;157.24
5.090;;;;-0.72;-0.26;155.68
5.095;;;;2.73;0.23;150.33
5.100;;;;2.38;-0.28;153.79
5.105;;;;4.35;-1.48;149.41
5.110;;;;-1.28;-0.75;151.78
5.115;;;;3.09;1.38;148.70
5.120;;;;2.65;-4.26;153.27
5.125;;;;2.34;-2.00;154.23
5.130;;;;0.93;-1.33;153.70
5.135;;;;-2.15;-1.05;157.68
5.140;;;;0.20;-1.79;155.35
5.145;;;;-2.08;-5.20;158.54
5.150;;;;-2.88;-2.04;156.43
5.155;;;;0.84;-3.12;155.16
5.160;;;;3.76;-0.67;155.21
5.165;;;;-0.03;-1.26;158.70
5.170;;;;0.13;-2.22;155.96
5.175;;;;-2.31;-2.49;159.15
5.180;;;;0.40;-0.56;155.20
5.185;;;;5.16;-4.50;154.17
5.190;;;;0.92;-2.03;158.54
5.195;;;;-0.29;1.01;155.48
5.200;;;;0.42;-0.77;156.84
5.205;;;;1.49;-1.07;154.55
5.210;;;;2.46;0.22;151.55
5.215;;;;-0.19;-2.61;153.55
5.220;;;;2.94;0.72;154.79
5.225;;;;1.87;-2.56;154.70
5.230;;;;1.53;-2.12;156.79
5.235;;;;5.20;-2.93;154.93
5.240;;;;1.10;-2.54;155.85
5.245;;;;0.48;2.91;156.32
5.250;;;;-0.62;1.60;155.81
5.255;;;;0.55;-2.24;156.67
5.260;;;;-2.93;-0.70;162.41
5.265;;;;1.32;1.71;159.24
5.270;;;;6.77;4.61;151.31
5.275;;;;4.28;0.34;156.40
5.280;;;;0.84;1.05;157.13
5.285;;;;-0.02;1.42;156.44
5.290;;;;-1.09;-3.15;160.23
5.295;;;;0.63;0.94;159.90
5.300;;;;-0.23;-1.96;158.70
5.305;;;;1.80;-1.89;158.39
5.310;;;;-0.37;-1.80;159.48
5.315;;;;0.45;-1.99;160.21
5.320;;;;-1.10;-4.18;162.29
5.325;;;;-0.55;1.71;160.52
5.330;;;;0.69;-3.10;163.59
5.335;;;;0.40;0.26;163.26
5.340;;;;-0.87;0.92;160.99
5.345;;;;0.03;0.46;161.34
5.350;;;;2.47;0.35;160.95
5.355;;;;0.49;-1.69;161.86
5.360;;;;1.95;-0.20;162.50
5.365;;;;0.25;0.25;161.12
5.370;;;;1.84;-1.03;159.35
5.375;;;;1.80;0.17;159.94
5.380;;;;2.86;-0.98;158.66
5.385;;;;-0.43;0.39;161.75
5.390;;;;0.25;-3.18;161.19
5.395;;;;0.74;-2.96;163.16
5.400;;;;0.56;-2.73;164.63
5.405;;;;-1.19;-5.53;164.80
5.410;;;;-2.86;-4.40;168.71
5.415;;;;0.06;-2.88;165.43
5.420;;;;2.64;-2.21;163.55
5.425;;;;-0.51;-1.97;165.30
5.430;;;;0.55;-0.45;163.56
5.435;;;;1.62;0.04;161.57
5.440;;;;-0.98;0.76;162.26
5.445;;;;-0.34;1.89;162.51
5.450;;;;1.66;0.71;162.05
5.455;;;;2.27;-0.55;163.29
5.460;;;;2.44;1.30;161.05
5.465;;;;1.55;0.96;159.91
5.470;;;;-2.20;2.41;163.22
5.475;;;;0.90;0.60;164.11
5.480;;;;1.07;0.15;162.37
5.485;;;;-0.12;-0.87;161.98
5.490;;;;0.69;1.55;163.86
5.495;;;;4.91;-0.55;161.22
5.500;;;;0.28;-3.06;163.91
5.505;;;;2.93;2.18;164.15
5.510;;;;0.98;-1.26;162.05
5.515;;;;1.28;-0.40;166.24
5.520;;;;3.69;-0.81;163.94
5.525;;;;2.44;1.53;162.83
5.530;;;;3.22;2.78;161.21
5.535;;;;2.62;-3.70;166.19
5.540;;;;1.60;-1.43;166.56
5.545;;;;2.05;-1.99;165.41
5.550;;;;4.67;1.40;162.63
5.555;;;;2.62;-0.28;164.11
5.560;;;;0.13;-1.13;168.47
5.565;;;;2.97;0.17;165.38
5.570;;;;0.88;-2.07;165.92
5.575;;;;3.89;-2.51;165.79
5.580;;;;-1.72;-0.38;166.89
5.585;;;;-1.69;-0.64;170.94
5.590;;;;3.45;-0.68;164.55
5.595;;;;4.50;-2.01;160.56
5.600;;;;3.28;-0.33;163.15
5.605;;;;-0.99;-0.02;168.69
5.610;;;;3.51;-2.83;166.47
5.615;;;;2.77;0.51;166.05
5.620;;;;3.73;0.72;164.66
5.625;;;;1.21;0.99;165.39
5.630;;;;-0.48;0.25;167.31
5.635;;;;-0.82;1.93;167.45
5.640;;;;-0.02;0.37;168.46
5.645;;;;-0.30;-2.57;169.93
5.650;;;;-0.24;-2.07;168.95
5.655;;;;1.51;1.38;165.16
5.660;;;;-0.32;-2.46;168.35
5.665;;;;-2.06;0.07;169.70
5.670;;;;-0.22;-1.46;170.77
5.675;;;;-0.42;-3.58;170.78
5.680;;;;-1.69;1.02;173.15
5.685;;;;0.25;-0.10;169.39
5.690;;;;2.74;-1.53;168.65
5.695;;;;0.38;1.02;172.09
5.700;;;;0.86;3.04;168.17
5.705;;;;-2.38;-2.83;174.65
5.710;;;;2.32;-1.57;169.78
5.715;;;;2.94;-1.59;171.18
5.720;;;;2.31;-4.34;166.93
5.725;;;;-0.94;-2.20;174.21
5.730;;;;1.93;-0.98;174.07
5.735;;;;1.54;-3.94;170.24
5.740;;;;2.71;0.70;168.05
5.745;;;;0.30;-1.78;174.05
5.750;;;;1.12;1.25;171.51
5.755;;;;-2.42;-1.80;175.78
5.760;;;;1.33;-1.57;170.00
5.765;;;;-0.08;-0.46;172.08
5.770;;;;1.42;-3.50;175.95
5.775;;;;3.37;-2.35;169.37
5.780;;;;4.21;-0.70;168.25
5.785;;;;4.38;0.01;170.45
5.790;;;;0.22;-2.82;172.49
5.795;;;;-0.06;-1.91;174.43
5.800;;;;-0.50;-1.89;174.59
5.805;;;;-0.52;-0.06;171.89
5.810;;;;-1.15;-1.67;176.86
5.815;;;;0.92;-3.02;175.11
5.820;;;;-2.16;0.97;175.32
5.825;;;;0.87;-0.90;172.08
5.830;;;;0.65;-0.07;173.22
5.835;;;;-1.26;-0.56;177.86
5.840;;;;-2.57;-0.43;-179.40
5.845;;;;-2.53;-2.57;-178.79
5.850;;;;0.82;-0.77;175.17
5.855;;;;-1.19;-1.63;178.16
5.860;;;;1.66;0.02;173.18
5.865;;;;2.56;-0.16;173.06
5.870;;;;-0.43;-2.10;175.97
5.875;;;;0.47;-2.88;176.14
5.880;;;;1.74;-0.47;174.55
5.885;;;;3.55;-0.26;173.37
5.890;;;;-0.40;0.76;173.91
5.895;;;;-1.81;1.14;176.77
5.900;;;;0.19;0.58;178.75
5.905;;;;1.90;-3.39;173.13
5.910;;;;-0.64;-5.55;177.34
5.915;;;;0.50;-0.47;177.11
5.920;;;;2.84;-0.16;172.20
5.925;;;;1.35;0.66;174.08
5.930;;;;-1.06;0.64;178.10
5.935;;;;2.58;-1.41;177.03
5.940;;;;0.89;-0.55;177.60
5.945;;;;-0.57;1.63;179.11
5.950;;;;-0.44;0.49;179.70
5.955;;;;0.49;-2.99;179.59
5.960;;;;1.22;-2.37;179.34
5.965;;;;2.14;-4.12;177.32
5.970;;;;1.66;-0.54;179.05
5.975;;;;1.53;-0.47;172.67
5.980;;;;2.47;0.40;177.50
5.985;;;;-0.37;-1.64;-178.50
5.990;;;;-1.49;-2.14;-177.01
5.995;;;;0.28;-3.22;177.29
6.000;;;;0.56;-1.29;178.44
6.005;;;;1.45;-0.87;176.71
6.010;;;;1.16;-0.03;-178.96
6.015;;;;2.62;-0.16;176.08
6.020;;;;-0.16;-1.05;-179.20
6.025;;;;0.13;-1.52;178.17
6.030;;;;2.46;-4.03;-179.54
6.035;;;;1.55;-0.44;179.04
6.040;;;;-1.09;1.75;-178.00
6.045;;;;-1.63;-0.64;-178.95
6.050;;;;-0.62;0.91;-176.28
6.055;;;;-3.34;-1.29;-174.72
6.060;;;;0.61;-0.05;-179.68
6.065;;;;4.28;2.18;174.83
6.070;;;;2.06;2.75;178.54
6.075;;;;-0.94;-1.73;-179.13
