Estimation;EKF;;;;;
6.080;;;;-1.82;-2.84;-174.70
6.085;;;;-0.24;0.35;-174.67
6.090;;;;-1.26;1.13;-174.21
6.095;;;;-1.15;0.05;-174.38
6.100;;;;1.13;-1.76;-179.54
6.105;;;;-1.56;-1.03;-177.17
6.110;;;;-0.08;-0.23;-178.16
6.115;;;;3.70;-3.62;-179.27
6.120;;;;1.95;0.36;-178.20
6.125;;;;-0.84;-2.41;-175.92
6.130;;;;-2.90;0.28;-175.63
6.135;;;;-0.84;-3.38;-174.75
6.140;;;;1.19;-1.73;-178.94
6.145;;;;-0.80;0.81;-177.05
6.150;;;;3.44;-1.29;-178.68
6.155;;;;2.36;-0.86;-177.64
6.160;;;;1.96;-1.56;-177.96
6.165;;;;1.03;0.09;-177.60
6.170;;;;1.21;-1.02;-174.71
6.175;;;;-1.90;-1.07;-173.95
6.180;;;;-0.90;-1.61;-175.66
6.185;;;;-1.36;1.41;-172.00
6.190;;;;0.39;1.16;-174.56
6.195;;;;1.79;0.09;-177.69
6.200;;;;1.76;-3.99;-178.97
6.205;;;;1.37;0.22;-175.06
6.210;;;;1.47;-1.00;-176.81
6.215;;;;1.24;-1.59;-173.81
6.220;;;;0.61;1.04;-171.98
6.225;;;;1.84;0.58;-172.69
6.230;;;;0.11;-0.56;-171.70
6.235;;;;-0.77;-0.02;-170.61
6.240;;;;1.36;-2.24;-170.04
6.245;;;;1.47;1.36;-172.35
6.250;;;;2.00;1.34;-170.32
6.255;;;;0.84;0.93;-172.21
6.260;;;;-1.24;-1.94;-171.93
6.265;;;;-0.93;-0.69;-175.44
6.270;;;;-1.00;-1.63;-172.50
6.275;;;;-1.09;-1.79;-169.88
6.280;;;;1.81;0.70;-174.58
6.285;;;;2.52;-1.01;-174.04
6.290;;;;-3.66;0.40;-170.13
6.295;;;;-0.34;1.38;-167.79
6.300;;;;1.35;-2.85;-174.29
6.305;;;;0.51;-1.35;-170.32
6.310;;;;3.84;-0.82;-172.25
6.315;;;;1.42;-1.44;-172.26
6.320;;;;0.57;-1.98;-170.40
6.325;;;;0.53;-2.05;-173.99
6.330;;;;1.47;-0.41;-174.60
6.335;;;;4.10;2.52;-174.04
6.340;;;;3.32;-0.72;-175.65
6.345;;;;3.25;-0.66;-172.40
6.350;;;;0.93;-1.07;-171.67
6.355;;;;1.14;-0.25;-168.97
6.360;;;;0.61;-2.49;-171.67
6.365;;;;-0.21;0.06;-170.31
6.370;;;;2.30;-2.33;-172.39
6.375;;;;3.48;-0.56;-173.62
6.380;;;;3.19;0.33;-170.94
6.385;;;;1.74;-2.21;-170.87
6.390;;;;1.59;-0.01;-169.98
6.395;;;;-0.66;0.70;-165.53
6.400;;;;3.32;-0.24;-169.49
6.405;;;;2.13;-1.39;-168.70
6.410;;;;3.03;0.14;-169.69
6.415;;;;1.68;0.41;-168.78
6.420;;;;-0.99;-0.51;-166.55
6.425;;;;1.71;1.35;-164.48
6.430;;;;5.55;-0.67;-170.45
6.435;;;;0.81;-2.70;-166.97
6.440;;;;0.80;-0.41;-169.20
6.445;;;;-0.21;-4.49;-164.37
6.450;;;;-3.91;-2.73;-163.25
6.455;;;;-0.12;-0.94;-163.06
6.460;;;;1.47;1.07;-166.71
6.465;;;;-0.04;-2.04;-165.69
6.470;;;;-0.70;0.42;-166.14
6.475;;;;-2.14;-0.37;-165.71
6.480;;;;4.80;0.23;-170.96
6.485;;;;3.20;-0.72;-169.66
6.490;;;;1.08;-3.40;-165.50
6.495;;;;0.98;-1.07;-166.61
6.500;;;;0.56;-1.28;-168.63
6.505;;;;-1.61;1.44;-162.50
6.510;;;;2.14;1.41;-162.31
6.515;;;;-0.43;0.57;-164.15
6.520;;;;1.05;-0.52;-162.90
6.525;;;;-0.69;0.03;-164.46
6.530;;;;-0.48;0.54;-163.50
6.535;;;;-1.82;-1.30;-165.54
6.540;;;;0.82;-1.33;-164.26
6.545;;;;2.08;-3.77;-168.07
6.550;;;;0.44;-1.61;-168.68
6.555;;;;3.48;-2.07;-165.99
6.560;;;;2.53;-3.20;-170.23
6.565;;;;1.07;-0.51;-164.31
6.570;;;;-1.58;-2.49;-161.70
6.575;;;;-1.18;1.66;-161.75
6.580;;;;-2.18;0.16;-159.27
6.585;;;;2.26;1.91;-163.73
6.590;;;;2.15;-0.58;-163.85
6.595;;;;0.17;-3.14;-164.16
6.600;;;;-0.14;1.27;-159.18
6.605;;;;-0.55;-2.33;-160.50
6.610;;;;-1.05;1.13;-159.71
6.615;;;;-0.33;2.27;-157.57
6.620;;;;-3.71;-0.74;-160.15
6.625;;;;2.05;-0.01;-163.00
6.630;;;;-0.40;-1.55;-162.54
6.635;;;;1.10;-1.52;-163.22
6.640;;;;2.73;-0.85;-162.89
6.645;;;;0.44;-0.60;-161.49
6.650;;;;2.19;-0.56;-161.82
6.655;;;;0.08;-3.14;-161.24
6.660;;;;-1.12;-1.86;-157.89
6.665;;;;-0.51;-2.81;-160.93
6.670;;;;1.40;0.62;-158.56
6.675;;;;1.92;0.52;-162.99
6.680;;;;2.27;-1.21;-163.47
6.685;;;;2.73;-2.28;-160.31
6.690;;;;5.08;-2.22;-165.59
6.695;;;;0.65;-1.71;-161.55
6.700;;;;5.12;-2.11;-163.68
6.705;;;;3.18;-2.40;-164.15
6.710;;;;3.16;-2.11;-159.77
6.715;;;;2.63;-1.82;-161.40
6.720;;;;0.43;-0.03;-157.34
6.725;;;;-3.55;-0.09;-157.49
6.730;;;;2.80;-1.04;-161.04
6.735;;;;4.46;-1.19;-161.86
6.740;;;;1.88;-0.73;-161.72
6.745;;;;-1.36;1.71;-158.99
6.750;;;;-2.96;0.05;-154.58
6.755;;;;-2.33;1.23;-153.19
6.760;;;;3.28;-1.13;-156.21
6.765;;;;4.46;-3.77;-162.06
6.770;;;;2.93;-1.16;-164.74
6.775;;;;-0.67;-0.74;-160.02
6.780;;;;1.14;-0.40;-159.01
6.785;;;;1.02;1.10;-158.29
6.790;;;;0.21;3.19;-156.39
6.795;;;;3.07;-1.88;-160.03
6.800;;;;0.70;-0.95;-157.56
6.805;;;;-0.46;0.97;-155.92
6.810;;;;2.36;-0.77;-159.52
6.815;;;;2.46;1.13;-158.19
6.820;;;;1.71;0.08;-157.70
6.825;;;;1.93;-1.80;-155.40
6.830;;;;2.19;0.73;-156.26
6.835;;;;2.62;-1.95;-155.41
6.840;;;;-0.18;1.35;-154.93
6.845;;;;1.02;-2.10;-157.17
6.850;;;;1.21;-3.12;-154.53
6.855;;;;0.85;-1.68;-156.95
6.860;;;;4.52;-0.29;-158.27
6.865;;;;-2.27;0.86;-154.83
6.870;;;;-1.05;0.11;-152.78
6.875;;;;1.54;-1.63;-157.33
6.880;;;;-1.63;-0.17;-154.46
6.885;;;;-0.82;-1.03;-152.15
6.890;;;;2.98;-1.95;-153.47
6.895;;;;1.66;-2.11;-154.10
6.900;;;;0.89;-2.57;-156.96
6.905;;;;1.30;-1.23;-157.28
6.910;;;;1.34;2.04;-154.72
6.915;;;;0.21;-0.66;-154.24
6.920;;;;3.72;-5.22;-156.71
6.925;;;;1.65;-3.38;-154.81
6.930;;;;3.41;0.18;-153.65
6.935;;;;0.06;-3.44;-155.10
6.940;;;;-1.70;0.44;-151.69
6.945;;;;0.87;-0.70;-154.00
6.950;;;;-0.50;-3.39;-153.81
6.955;;;;-1.79;-1.53;-152.16
6.960;;;;-0.43;0.44;-149.60
6.965;;;;-0.14;-0.60;-152.47
6.970;;;;-0.12;-3.45;-150.48
6.975;;;;1.65;3.03;-153.61
6.980;;;;3.20;-2.86;-153.73
6.985;;;;-0.07;-0.04;-152.42
6.990;;;;3.28;-1.82;-152.27
6.995;;;;0.36;-2.42;-152.69
7.000;;;;0.05;-3.80;-152.15
7.005;;;;-2.46;-4.29;-149.64
7.010;;;;2.00;-0.17;-148.71
7.015;;;;4.64;-1.57;-155.48
7.020;;;;-0.71;-1.86;-150.61
7.025;;;;0.51;-2.05;-147.92
7.030;;;;2.80;-2.61;-152.73
7.035;;;;1.47;-2.27;-151.66
7.040;;;;-0.14;0.42;-149.28
7.045;;;;-0.86;1.84;-149.61
7.050;;;;2.98;-2.70;-153.83
7.055;;;;-0.20;2.30;-147.72
7.060;;;;-0.60;0.51;-147.82
7.065;;;;1.12;0.16;-148.43
7.070;;;;1.14;-1.86;-148.73
7.075;;;;2.17;-1.59;-151.48
7.080;;;;-0.55;-1.11;-150.58
7.085;;;;1.33;1.91;-147.11
7.090;;;;3.38;-4.24;-152.09
7.095;;;;0.49;-0.58;-147.72
7.100;;;;-0.83;-1.39;-146.78
7.105;;;;2.79;-0.57;-150.74
7.110;;;;-0.99;0.57;-148.04
7.115;;;;1.24;-0.99;-148.49
7.120;;;;1.34;-2.66;-148.41
7.125;;;;1.32;-0.71;-147.37
7.130;;;;1.14;1.99;-146.72
7.135;;;;5.32;-1.00;-148.16
7.140;;;;3.19;-3.49;-150.30
7.145;;;;1.33;-2.12;-147.89
7.150;;;;-0.56;-0.69;-146.76
7.155;;;;0.62;-1.58;-148.29
7.160;;;;0.34;-2.65;-149.21
7.165;;;;3.38;-1.23;-148.22
7.170;;;;0.40;-1.68;-144.13
7.175;;;;2.10;-1.38;-144.36
7.180;;;;-0.09;1.15;-142.55
7.185;;;;1.71;0.20;-146.53
7.190;;;;0.39;-1.09;-148.08
7.195;;;;3.35;0.99;-147.81
7.200;;;;0.18;-1.18;-147.53
7.205;;;;1.19;-2.80;-145.77
7.210;;;;1.14;-2.92;-150.38
7.215;;;;2.43;-0.40;-143.12
7.220;;;;3.05;-4.49;-147.57
7.225;;;;5.53;-2.09;-148.28
7.230;;;;1.30;-1.06;-148.98
7.235;;;;-1.78;-0.09;-142.01
7.240;;;;0.70;1.79;-142.49
7.245;;;;-0.07;0.27;-141.18
7.250;;;;-0.18;-1.67;-143.28
7.255;;;;2.27;-4.25;-148.11
7.260;;;;3.43;-2.32;-146.28
7.265;;;;1.60;0.90;-146.32
7.270;;;;1.54;-2.32;-144.61
7.275;;;;2.14;-2.12;-143.11
7.280;;;;1.26;-0.66;-141.93
7.285;;;;-0.99;1.13;-140.05
7.290;;;;-1.06;1.91;-138.82
7.295;;;;-1.02;-0.92;-141.78
7.300;;;;-0.78;-1.10;-137.85
7.305;;;;1.28;-2.62;-139.83
7.310;;;;3.11;1.13;-143.09
7.315;;;;3.83;-1.21;-143.48
7.320;;;;-0.04;-2.41;-143.86
7.325;;;;2.51;-0.62;-145.25
7.330;;;;3.18;1.11;-144.05
7.335;;;;1.29;0.09;-142.21
7.340;;;;3.44;-3.63;-143.36
7.345;;;;3.55;-1.10;-143.94
7.350;;;;2.22;-1.26;-142.03
7.355;;;;0.39;-1.42;-142.55
7.360;;;;3.16;0.16;-143.15
7.365;;;;0.67;-2.65;-141.18
7.370;;;;2.57;-1.01;-143.87
7.375;;;;0.31;0.74;-140.65
7.380;;;;3.40;-3.74;-140.99
7.385;;;;0.68;-0.84;-141.37
7.390;;;;0.23;0.94;-138.01
7.395;;;;-2.42;-0.45;-133.83
7.400;;;;0.46;0.16;-135.72
7.405;;;;2.42;1.64;-134.45
7.410;;;;0.70;-0.07;-138.69
7.415;;;;-0.02;-0.17;-141.52
7.420;;;;-0.12;-4.05;-139.62
7.425;;;;0.21;-0.14;-139.16
7.430;;;;1.19;-3.37;-139.34
7.435;;;;1.18;-4.55;-138.60
7.440;;;;1.83;-1.22;-140.20
7.445;;;;3.03;3.61;-137.99
7.450;;;;-0.26;-2.54;-138.67
7.455;;;;-0.48;2.67;-135.69
7.460;;;;0.19;0.11;-138.46
7.465;;;;2.15;0.05;-137.32
7.470;;;;-1.74;0.40;-135.29
7.475;;;;0.66;-0.95;-135.30
7.480;;;;-0.38;2.57;-131.04
7.485;;;;2.28;-2.20;-136.56
7.490;;;;1.33;0.63;-137.78
7.495;;;;5.71;-1.70;-143.00
7.500;;;;1.77;0.11;-140.66
7.505;;;;0.10;3.73;-137.94
7.510;;;;1.11;-2.11;-137.88
7.515;;;;-0.08;-1.23;-134.42
7.520;;;;-0.66;1.76;-130.21
7.525;;;;0.26;0.49;-133.49
7.530;;;;0.22;2.47;-132.51
7.535;;;;0.62;-1.45;-136.53
7.540;;;;0.03;-0.63;-136.10
7.545;;;;2.87;-0.73;-136.21
7.550;;;;0.95;-1.93;-136.27
7.555;;;;3.79;-2.35;-135.28
7.560;;;;0.11;-2.66;-133.51
7.565;;;;-0.55;0.27;-136.74
7.570;;;;3.11;2.04;-139.13
7.575;;;;1.23;-0.13;-135.44
7.580;;;;-2.24;-1.99;-131.97
7.585;;;;-1.16;-1.39;-132.90
7.590;;;;1.43;-1.95;-133.92
7.595;;;;3.21;-2.08;-136.81
7.600;;;;2.11;-0.44;-134.43
7.605;;;;1.08;-0.02;-135.28
7.610;;;;3.07;-0.71;-136.64
7.615;;;;1.45;-0.55;-136.89
7.620;;;;0.71;-3.01;-135.98
7.625;;;;-0.86;0.85;-130.75
7.630;;;;0.61;-2.36;-132.55
7.635;;;;0.10;0.88;-133.94
7.640;;;;0.64;2.54;-132.74
7.645;;;;0.49;2.83;-127.06
7.650;;;;1.51;2.05;-129.28
7.655;;;;-0.17;-1.32;-129.74
7.660;;;;5.12;-2.05;-132.38
7.665;;;;1.10;-1.76;-132.89
7.670;;;;1.46;-1.78;-133.99
7.675;;;;0.93;0.67;-131.19
7.680;;;;3.44;-2.30;-135.25
7.685;;;;3.84;-1.36;-135.58
7.690;;;;-1.63;-0.34;-133.71
7.695;;;;0.78;0.31;-131.14
7.700;;;;0.62;-3.19;-128.41
7.705;;;;2.10;-0.63;-129.50
7.710;;;;4.34;-0.28;-130.44
7.715;;;;2.43;-1.78;-131.40
7.720;;;;-0.16;0.07;-128.95
7.725;;;;2.09;0.89;-128.89
7.730;;;;2.18;-2.55;-133.21
7.735;;;;0.51;-0.18;-129.23
7.740;;;;1.28;-2.81;-129.22
7.745;;;;3.05;-5.40;-133.90
7.750;;;;1.70;-3.74;-132.02
7.755;;;;3.33;-1.21;-133.86
7.760;;;;2.18;0.39;-127.76
7.765;;;;-0.67;-2.66;-130.23
7.770;;;;-0.85;-4.92;-128.79
7.775;;;;3.25;-0.80;-128.30
7.780;;;;0.91;-2.64;-129.50
7.785;;;;-0.82;-2.34;-127.66
7.790;;;;-0.79;-1.49;-128.87
7.795;;;;1.93;-0.88;-129.21
7.800;;;;1.61;-0.89;-127.41
7.805;;;;1.35;-1.64;-129.92
7.810;;;;-0.16;-0.42;-125.80
7.815;;;;1.09;-3.52;-130.80
7.820;;;;-1.17;-2.65;-129.16
7.825;;;;1.01;-0.12;-126.73
7.830;;;;-2.30;-1.84;-124.91
7.835;;;;0.61;-3.15;-124.82
7.840;;;;1.49;-0.43;-125.99
7.845;;;;-1.40;-0.11;-128.27
7.850;;;;0.96;-1.01;-123.09
7.855;;;;0.90;4.70;-122.08
7.860;;;;-1.35;4.00;-119.44
7.865;;;;2.11;0.56;-126.78
7.870;;;;2.46;-2.60;-128.61
7.875;;;;1.06;-4.52;-125.54
7.880;;;;5.91;-3.05;-131.22
7.885;;;;3.53;-1.04;-128.97
7.890;;;;2.23;-1.47;-125.40
7.895;;;;0.64;-3.19;-126.58
7.900;;;;3.28;1.17;-125.36
7.905;;;;0.84;-0.11;-120.67
7.910;;;;1.62;-3.66;-124.27
7.915;;;;2.16;-1.84;-123.48
7.920;;;;0.55;-2.81;-124.35
7.925;;;;1.37;-1.04;-123.20
7.930;;;;2.17;-2.24;-125.14
7.935;;;;2.62;-3.78;-126.14
7.940;;;;2.27;0.65;-123.55
7.945;;;;1.92;-0.94;-125.38
7.950;;;;-0.81;-4.99;-123.52
7.955;;;;2.51;-5.83;-127.87
7.960;;;;2.49;0.44;-125.59
7.965;;;;3.16;-2.68;-127.05
7.970;;;;0.51;-2.63;-127.01
7.975;;;;1.21;-1.91;-125.40
7.980;;;;1.79;-3.06;-122.90
7.985;;;;0.99;-1.22;-121.24
7.990;;;;0.95;-0.76;-118.58
7.995;;;;2.21;-0.13;-118.28
8.000;;;;2.53;-0.28;-122.54
8.005;;;;1.14;-2.02;-122.89
8.010;;;;0.90;-1.98;-123.84
8.015;;;;-1.34;-7.36;-126.43
8.020;;;;0.75;-2.82;-121.93
8.025;;;;-0.43;-4.43;-122.52
8.030;;;;0.38;-0.44;-123.10
8.035;;;;3.00;-0.47;-121.41
8.040;;;;1.73;-0.17;-117.82
8.045;;;;0.58;-1.74;-120.02
8.050;;;;2.13;-2.34;-120.49
8.055;;;;-0.83;-1.00;-119.57
8.060;;;;0.03;-1.11;-120.97
8.065;;;;0.69;-2.16;-118.59
8.070;;;;1.11;1.25;-117.62
8.075;;;;-3.42;1.13;-112.63
8.080;;;;-0.45;0.10;-117.33
8.085;;;;-0.10;-0.20;-117.94
8.090;;;;1.20;-0.89;-121.48
8.095;;;;2.49;-2.99;-121.61
8.100;;;;3.62;-1.11;-122.50
8.105;;;;2.53;2.57;-120.94
8.110;;;;3.85;0.84;-117.80
8.115;;;;-0.24;-3.09;-120.59
8.120;;;;1.86;-0.70;-117.49
8.125;;;;2.11;-2.74;-120.07
8.130;;;;0.17;1.21;-116.32
8.135;;;;-0.44;1.64;-116.75
8.140;;;;-0.47;-0.98;-118.47
8.145;;;;-2.72;-0.74;-114.98
8.150;;;;-0.46;-2.78;-115.03
8.155;;;;3.42;-0.70;-116.94
8.160;;;;2.12;-2.42;-120.57
8.165;;;;0.37;-0.30;-118.86
8.170;;;;1.55;-0.06;-117.66
8.175;;;;3.11;-3.90;-120.25
8.180;;;;1.24;-5.71;-122.66
8.185;;;;0.43;-1.27;-115.05
8.190;;;;-1.84;-0.97;-114.17
8.195;;;;-0.48;-3.41;-114.96
8.200;;;;0.52;-2.17;-115.63
8.205;;;;1.96;0.47;-118.46
8.210;;;;2.29;-4.74;-117.49
8.215;;;;1.47;0.76;-113.45
8.220;;;;0.48;-1.65;-113.64
8.225;;;;-2.04;-0.40;-109.00
8.230;;;;0.41;-3.33;-115.08
8.235;;;;-0.78;-4.23;-115.10
8.240;;;;-2.25;-0.78;-110.01
8.245;;;;1.56;0.01;-112.27
8.250;;;;1.24;-2.68;-113.45
8.255;;;;-1.61;1.27;-111.42
8.260;;;;0.84;-3.30;-116.26
8.265;;;;0.16;0.70;-112.38
8.270;;;;0.30;0.82;-113.94
8.275;;;;0.56;-3.42;-115.48
8.280;;;;-1.39;-3.06;-113.76
8.285;;;;1.34;-3.91;-118.22
8.290;;;;1.94;-2.60;-116.54
8.295;;;;1.79;-3.29;-118.47
8.300;;;;0.79;-1.93;-113.70
8.305;;;;0.52;-0.57;-110.58
8.310;;;;1.96;-1.18;-111.66
8.315;;;;-0.15;-0.96;-112.84
8.320;;;;-1.79;1.68;-112.87
8.325;;;;1.00;-0.11;-114.18
8.330;;;;0.82;-2.86;-111.99
8.335;;;;-0.03;-1.39;-113.32
8.340;;;;-1.71;-2.65;-109.74
8.345;;;;1.78;-1.60;-113.23
8.350;;;;2.89;-1.51;-110.64
8.355;;;;-0.28;0.10;-108.49
8.360;;;;0.84;-3.39;-111.51
8.365;;;;2.94;-1.07;-109.66
8.370;;;;4.77;-2.63;-112.04
8.375;;;;3.39;-3.30;-110.58
8.380;;;;3.11;-3.18;-112.39
8.385;;;;0.82;-2.08;-113.07
8.390;;;;1.25;-3.94;-112.31
8.395;;;;0.99;-1.34;-108.25
8.400;;;;0.74;-2.39;-107.89
8.405;;;;2.54;-0.83;-111.42
8.410;;;;1.36;1.82;-103.56
8.415;;;;-2.40;-3.22;-106.47
8.420;;;;2.91;2.18;-106.83
8.425;;;;-1.28;-2.17;-110.47
8.430;;;;3.12;-0.32;-110.10
8.435;;;;4.13;-2.62;-109.76
8.440;;;;-0.62;-0.45;-106.48
8.445;;;;0.26;2.29;-106.75
8.450;;;;1.97;0.60;-103.93
8.455;;;;1.61;0.30;-106.09
8.460;;;;1.11;-0.67;-103.32
8.465;;;;0.75;-3.36;-106.63
8.470;;;;0.99;-1.01;-108.41
8.475;;;;4.94;1.74;-105.97
8.480;;;;0.60;-0.27;-105.37
8.485;;;;-0.86;-0.57;-107.92
8.490;;;;1.03;-0.52;-108.55
8.495;;;;0.50;0.25;-103.75
8.500;;;;0.49;-4.29;-108.54
8.505;;;;-0.31;-1.53;-107.16
8.510;;;;1.58;0.70;-104.55
8.515;;;;3.05;-1.66;-106.95
8.520;;;;3.22;-1.82;-105.91
8.525;;;;1.30;-2.29;-107.44
8.530;;;;2.80;-0.49;-106.18
8.535;;;;-0.39;-0.82;-104.28
8.540;;;;1.48;-3.82;-107.60
8.545;;;;2.25;-5.77;-107.48
8.550;;;;0.41;-0.28;-105.76
8.555;;;;-0.53;3.40;-102.14
8.560;;;;1.30;-1.48;-103.50
8.565;;;;0.03;-0.48;-101.55
8.570;;;;0.75;1.31;-103.04
8.575;;;;0.43;-0.70;-102.90
8.580;;;;0.20;0.21;-100.77
8.585;;;;1.17;-0.79;-101.98
8.590;;;;0.26;-0.80;-103.69
8.595;;;;1.65;-1.53;-103.71
8.600;;;;0.41;-6.66;-109.33
8.605;;;;0.09;-1.91;-107.98
8.610;;;;2.73;-1.71;-105.09
8.615;;;;0.09;0.38;-100.35
8.620;;;;-1.14;0.42;-100.61
8.625;;;;2.47;0.04;-97.82
8.630;;;;0.01;-0.70;-101.69
8.635;;;;1.66;-2.04;-100.70
8.640;;;;3.44;-1.43;-104.32
8.645;;;;0.89;-0.54;-102.28
8.650;;;;4.44;-2.79;-102.70
8.655;;;;2.43;0.48;-101.17
8.660;;;;-0.40;-0.73;-98.97
8.665;;;;2.33;-1.84;-103.69
8.670;;;;4.07;-2.44;-105.91
8.675;;;;1.76;-0.49;-100.71
8.680;;;;-0.80;-0.53;-98.99
8.685;;;;-0.45;-1.52;-100.34
8.690;;;;0.19;-2.92;-101.55
8.695;;;;2.61;-4.50;-106.86
8.700;;;;0.48;-1.90;-101.08
8.705;;;;3.04;-2.65;-100.09
8.710;;;;3.52;-5.02;-108.53
8.715;;;;0.72;-5.42;-104.73
8.720;;;;3.37;-4.28;-106.28
8.725;;;;0.62;-3.39;-104.39
8.730;;;;-2.58;-1.20;-101.75
8.735;;;;-1.47;-2.22;-101.60
8.740;;;;-0.14;-3.59;-100.77
8.745;;;;-0.36;2.64;-92.80
8.750;;;;1.85;0.06;-97.35
8.755;;;;0.71;2.69;-97.17
8.760;;;;-0.36;-0.62;-97.38
8.765;;;;-2.27;-2.64;-103.14
8.770;;;;-0.35;-1.33;-97.65
8.775;;;;2.59;0.99;-93.56
8.780;;;;2.90;-2.59;-96.68
8.785;;;;-0.18;-1.40;-97.21
8.790;;;;-0.51;-1.27;-97.96
8.795;;;;-0.52;-6.28;-101.63
8.800;;;;1.29;-4.94;-102.54
8.805;;;;-0.43;-3.45;-99.57
8.810;;;;1.46;-0.15;-95.45
8.815;;;;1.39;5.48;-90.03
8.820;;;;2.31;3.91;-92.46
8.825;;;;-0.81;0.16;-98.10
8.830;;;;1.44;-1.67;-98.40
8.835;;;;0.65;-1.53;-95.59
8.840;;;;-0.48;-1.14;-95.34
8.845;;;;0.96;-1.49;-97.17
8.850;;;;-1.23;-0.16;-97.59
8.855;;;;-0.51;-1.24;-95.51
8.860;;;;-1.80;-3.43;-95.33
8.865;;;;-0.90;-0.66;-94.99
8.870;;;;-0.50;0.01;-93.54
8.875;;;;1.35;-3.39;-95.89
8.880;;;;-1.11;-1.71;-95.15
8.885;;;;-2.44;-0.05;-93.48
8.890;;;;0.27;3.84;-87.50
8.895;;;;-0.14;-0.61;-89.22
8.900;;;;1.39;-1.47;-97.18
8.905;;;;-0.82;-3.74;-96.43
8.910;;;;0.13;-6.35;-99.82
8.915;;;;0.93;-0.18;-95.11
8.920;;;;-0.32;-5.02;-94.58
8.925;;;;-0.87;-3.14;-95.15
8.930;;;;-0.17;0.78;-90.91
8.935;;;;1.49;0.69;-93.40
8.940;;;;0.77;-1.82;-95.17
8.945;;;;0.18;-3.47;-95.66
8.950;;;;0.64;-0.66;-93.48
8.955;;;;0.40;-0.48;-90.78
8.960;;;;1.41;-6.70;-97.05
8.965;;;;0.86;-0.63;-96.12
8.970;;;;-0.29;3.16;-93.77
8.975;;;;0.31;-1.95;-92.66
8.980;;;;-1.28;0.83;-93.22
8.985;;;;0.14;1.29;-92.15
8.990;;;;-0.52;-0.55;-91.17
8.995;;;;2.25;-1.05;-89.62
9.000;;;;1.85;-3.22;-95.30
9.005;;;;1.50;-2.80;-94.92
9.010;;;;1.66;-2.61;-92.19
9.015;;;;1.07;1.73;-89.94
