Estimation;EKF;;;;;
9.020;;;;-0.23;-2.02;-92.21
9.025;;;;0.65;-4.36;-94.68
9.030;;;;2.59;-0.74;-89.12
9.035;;;;0.80;-1.09;-92.08
9.040;;;;2.20;-1.80;-93.14
9.045;;;;1.56;-4.04;-94.56
9.050;;;;1.32;-3.69;-94.07
9.055;;;;-0.04;-1.17;-91.02
9.060;;;;2.63;-2.71;-90.19
9.065;;;;0.74;-3.49;-91.64
9.070;;;;2.46;0.31;-88.74
9.075;;;;0.51;0.46;-89.62
9.080;;;;0.51;3.43;-88.21
9.085;;;;1.93;1.51;-88.90
9.090;;;;1.68;-2.49;-91.15
9.095;;;;-0.16;-0.04;-91.09
9.100;;;;1.65;0.68;-87.51
9.105;;;;1.12;0.04;-87.65
9.110;;;;-0.00;-1.26;-87.78
9.115;;;;0.43;-0.03;-84.26
9.120;;;;-0.39;-0.30;-88.01
9.125;;;;3.94;-0.50;-86.82
9.130;;;;0.75;-1.02;-86.34
9.135;;;;-0.00;-1.78;-87.39
9.140;;;;1.14;0.40;-86.77
9.145;;;;0.42;-0.01;-84.97
9.150;;;;1.12;-1.74;-88.12
9.155;;;;1.06;0.05;-85.68
9.160;;;;0.96;0.16;-85.17
9.165;;;;0.57;-1.43;-84.44
9.170;;;;0.71;1.03;-84.35
9.175;;;;1.53;-1.57;-85.77
9.180;;;;-0.07;1.05;-84.08
9.185;;;;-1.68;-2.78;-86.74
9.190;;;;0.91;1.85;-81.78
9.195;;;;-1.67;-0.07;-83.54
9.200;;;;2.28;-2.74;-89.23
9.205;;;;0.07;-2.96;-91.38
9.210;;;;-0.00;-0.51;-83.29
9.215;;;;1.32;-0.90;-80.52
9.220;;;;-0.58;-3.11;-85.19
9.225;;;;-0.52;0.24;-85.16
9.230;;;;2.52;1.75;-82.82
9.235;;;;4.14;1.34;-83.55
9.240;;;;3.22;-3.61;-83.41
9.245;;;;4.60;-2.11;-83.65
9.250;;;;2.52;-0.45;-80.19
9.255;;;;-0.29;0.48;-81.26
9.260;;;;1.04;-1.72;-81.10
9.265;;;;1.94;-2.44;-83.33
9.270;;;;1.45;-0.24;-80.52
9.275;;;;0.20;2.03;-78.36
9.280;;;;0.19;-0.85;-80.63
9.285;;;;0.60;-4.37;-84.98
9.290;;;;1.67;-2.11;-84.89
9.295;;;;0.32;-0.18;-83.72
9.300;;;;-0.97;0.25;-81.71
9.305;;;;1.41;-1.49;-79.78
9.310;;;;5.70;1.18;-77.94
9.315;;;;-1.17;-1.23;-81.84
9.320;;;;-0.14;1.66;-84.03
9.325;;;;0.98;1.16;-78.70
9.330;;;;3.38;-0.60;-78.74
9.335;;;;0.74;-3.07;-78.91
9.340;;;;-1.43;-3.50;-79.04
9.345;;;;2.18;-2.86;-80.89
9.350;;;;-1.14;-0.12;-82.28
9.355;;;;0.60;-5.88;-81.35
9.360;;;;1.21;-2.00;-80.24
9.365;;;;0.62;-2.44;-81.19
9.370;;;;-0.85;-3.07;-80.75
9.375;;;;1.21;0.37;-78.09
9.380;;;;-0.66;-0.87;-78.99
9.385;;;;1.67;1.71;-79.28
9.390;;;;-0.50;0.21;-78.79
9.395;;;;4.07;-2.96;-82.83
9.400;;;;-0.33;-1.53;-79.75
9.405;;;;0.87;-2.89;-82.76
9.410;;;;0.66;-3.31;-82.37
9.415;;;;2.10;1.10;-75.99
9.420;;;;3.51;-2.04;-76.63
9.425;;;;3.07;-0.64;-78.85
9.430;;;;-0.19;-1.47;-81.16
9.435;;;;-1.40;-1.81;-84.43
9.440;;;;3.08;-2.95;-80.67
9.445;;;;2.20;-6.55;-83.35
9.450;;;;0.50;0.55;-78.61
9.455;;;;-1.53;0.81;-74.57
9.460;;;;1.93;-1.43;-77.88
9.465;;;;-1.37;-1.83;-79.87
9.470;;;;2.87;1.65;-75.74
9.475;;;;1.24;2.49;-74.27
9.480;;;;2.50;1.73;-73.58
9.485;;;;2.44;-1.11;-74.73
9.490;;;;-1.79;-4.84;-78.83
9.495;;;;-0.70;-2.62;-80.82
9.500;;;;4.94;-2.35;-76.35
9.505;;;;2.71;-1.31;-78.53
9.510;;;;3.56;-2.03;-75.68
9.515;;;;1.08;-1.30;-73.76
9.520;;;;0.99;-1.36;-74.84
9.525;;;;3.10;1.71;-72.81
9.530;;;;1.34;-0.21;-77.21
9.535;;;;2.53;-3.53;-78.33
9.540;;;;1.93;-3.53;-78.90
9.545;;;;1.08;0.70;-77.51
9.550;;;;-0.25;3.11;-69.91
9.555;;;;0.53;0.99;-72.85
9.560;;;;2.50;-1.69;-75.23
9.565;;;;0.33;-1.92;-76.54
9.570;;;;3.22;-0.01;-73.61
9.575;;;;3.61;-2.97;-73.18
9.580;;;;0.00;-2.21;-75.80
9.585;;;;-1.73;-0.04;-71.27
9.590;;;;1.50;-3.09;-74.70
9.595;;;;-2.30;-2.48;-78.40
9.600;;;;4.79;-1.78;-74.63
9.605;;;;3.74;0.44;-73.18
9.610;;;;1.10;-1.06;-72.37
9.615;;;;-0.63;-0.50;-73.88
9.620;;;;0.25;0.26;-70.13
9.625;;;;1.91;0.64;-71.92
9.630;;;;-1.50;-3.39;-72.42
9.635;;;;-0.40;0.64;-70.48
9.640;;;;0.38;2.82;-68.34
9.645;;;;1.27;0.76;-68.51
9.650;;;;1.59;-4.52;-74.57
9.655;;;;1.00;-1.26;-72.70
9.660;;;;0.16;-1.46;-71.73
9.665;;;;-0.69;-3.34;-74.08
9.670;;;;0.70;-3.53;-73.86
9.675;;;;-0.30;-1.55;-70.37
9.680;;;;0.86;0.98;-65.95
9.685;;;;-1.76;-0.14;-67.81
9.690;;;;-0.09;-1.94;-68.05
9.695;;;;0.95;-1.60;-70.71
9.700;;;;-0.92;-3.31;-73.18
9.705;;;;-1.08;-1.71;-71.72
9.710;;;;-1.34;-1.10;-70.22
9.715;;;;0.41;-2.00;-65.99
9.720;;;;-1.09;-1.76;-70.62
9.725;;;;3.71;-1.24;-72.10
9.730;;;;-2.48;-3.08;-72.69
9.735;;;;-3.64;-1.61;-73.88
9.740;;;;1.96;-0.96;-70.83
9.745;;;;1.47;5.25;-64.28
9.750;;;;0.41;1.87;-68.24
9.755;;;;-0.33;-1.91;-68.43
9.760;;;;1.75;0.13;-68.68
9.765;;;;2.47;-1.24;-67.63
9.770;;;;0.38;-1.49;-68.57
9.775;;;;1.45;-3.39;-71.06
9.780;;;;-1.64;-0.40;-66.36
9.785;;;;2.90;-1.01;-65.23
9.790;;;;0.59;-1.95;-68.01
9.795;;;;0.52;-1.87;-70.19
9.800;;;;-0.15;-2.63;-70.63
9.805;;;;-1.00;-2.29;-68.11
9.810;;;;1.75;1.68;-65.56
9.815;;;;0.58;4.07;-61.88
9.820;;;;1.15;-0.19;-64.52
9.825;;;;2.97;-0.52;-67.73
9.830;;;;3.16;0.30;-62.28
9.835;;;;0.23;-1.51;-67.68
9.840;;;;-1.08;-0.26;-66.88
9.845;;;;2.12;-2.21;-65.58
9.850;;;;1.74;-0.44;-63.56
9.855;;;;0.57;-0.42;-65.00
9.860;;;;2.05;-4.11;-65.07
9.865;;;;0.21;2.86;-63.12
9.870;;;;0.35;-3.34;-66.55
9.875;;;;-1.90;-0.55;-64.58
9.880;;;;-2.33;-2.43;-68.61
9.885;;;;-0.75;-5.90;-69.35
9.890;;;;0.83;3.38;-60.04
9.895;;;;2.39;-0.84;-65.27
9.900;;;;-2.51;-2.16;-67.43
9.905;;;;0.21;-4.23;-64.18
9.910;;;;-1.14;-2.34;-64.30
9.915;;;;0.45;-1.36;-66.21
9.920;;;;0.41;-1.11;-61.59
9.925;;;;-2.49;-3.53;-65.79
9.930;;;;-0.27;-3.01;-66.68
9.935;;;;2.42;0.35;-61.13
9.940;;;;2.17;-1.94;-61.67
9.945;;;;2.07;-3.64;-65.34
9.950;;;;-1.99;-4.35;-68.57
9.955;;;;0.22;-0.90;-65.94
9.960;;;;0.86;-3.03;-63.85
9.965;;;;1.83;1.42;-60.90
9.970;;;;0.81;-3.11;-62.60
9.975;;;;-1.50;-2.06;-63.97
9.980;;;;-0.04;-0.68;-63.25
9.985;;;;-0.76;2.08;-58.02
9.990;;;;1.68;-0.26;-59.01
9.995;;;;1.74;-1.41;-57.48
10.000;;;;1.30;-0.36;-63.15
10.005;;;;-1.52;-0.22;-59.47
10.010;;;;-0.63;-4.81;-62.34
10.015;;;;2.33;-1.74;-61.41
10.020;;;;-0.31;-1.34;-60.30
10.025;;;;-0.35;-1.69;-62.10
10.030;;;;-1.56;-0.40;-60.90
10.035;;;;0.36;1.10;-59.50
10.040;;;;0.12;0.73;-61.85
10.045;;;;0.64;1.35;-61.97
10.050;;;;-0.44;-4.51;-60.85
10.055;;;;-0.57;-2.15;-60.68
10.060;;;;-0.17;-1.69;-59.19
10.065;;;;1.95;-0.28;-56.35
10.070;;;;1.63;-4.41;-57.96
10.075;;;;1.17;-2.28;-60.33
10.080;;;;1.15;-0.74;-59.99
10.085;;;;2.36;1.71;-59.17
10.090;;;;0.99;-3.64;-59.58
10.095;;;;0.87;1.01;-58.41
10.100;;;;1.93;2.07;-58.08
10.105;;;;1.29;-0.96;-56.16
10.110;;;;0.16;-0.67;-56.67
10.115;;;;-0.03;-1.35;-57.22
10.120;;;;-1.40;-2.20;-53.61
10.125;;;;2.36;-2.64;-57.03
10.130;;;;0.93;-3.90;-57.48
10.135;;;;0.28;-1.37;-59.77
10.140;;;;-2.95;3.23;-56.38
10.145;;;;3.60;-4.05;-61.12
10.150;;;;0.56;-1.58;-59.72
10.155;;;;0.63;0.03;-56.93
10.160;;;;4.01;1.40;-54.48
10.165;;;;-0.61;-2.27;-56.04
10.170;;;;-1.47;-3.65;-57.21
10.175;;;;2.75;-2.09;-58.84
10.180;;;;1.69;-2.39;-53.08
10.185;;;;1.24;-1.86;-53.77
10.190;;;;2.43;0.19;-53.26
10.195;;;;1.37;0.71;-54.97
10.200;;;;1.96;-2.65;-58.21
10.205;;;;1.15;-0.08;-54.21
10.210;;;;4.02;-4.61;-55.30
10.215;;;;1.30;-2.34;-53.78
10.220;;;;2.04;1.47;-49.82
10.225;;;;1.14;-0.68;-52.55
10.230;;;;-0.05;0.26;-56.46
10.235;;;;0.69;-1.85;-53.97
10.240;;;;1.87;-2.11;-53.66
10.245;;;;0.78;-1.47;-51.74
10.250;;;;0.87;-2.88;-53.36
10.255;;;;1.73;-0.35;-52.49
10.260;;;;-1.37;-3.54;-57.09
10.265;;;;1.61;-0.65;-52.21
10.270;;;;0.73;-1.25;-50.82
10.275;;;;0.20;-1.82;-51.23
10.280;;;;2.17;0.27;-48.71
10.285;;;;1.28;-0.73;-50.92
10.290;;;;-0.55;0.78;-49.84
10.295;;;;2.36;0.58;-47.80
10.300;;;;2.86;0.08;-51.49
10.305;;;;-1.08;1.30;-51.05
10.310;;;;2.29;-4.44;-53.11
10.315;;;;-2.17;-0.80;-50.85
10.320;;;;-0.01;-1.26;-51.16
10.325;;;;1.21;-2.30;-52.19
10.330;;;;1.37;-1.33;-49.73
10.335;;;;-1.09;1.86;-45.42
10.340;;;;0.11;-1.81;-50.51
10.345;;;;3.76;1.52;-46.86
10.350;;;;3.59;-1.60;-48.25
10.355;;;;-1.19;-5.01;-51.53
10.360;;;;1.74;-3.66;-53.76
10.365;;;;0.97;-3.70;-53.21
10.370;;;;-0.98;-0.47;-52.85
10.375;;;;-1.01;-0.50;-51.28
10.380;;;;0.09;-1.63;-52.28
10.385;;;;2.85;2.20;-48.11
10.390;;;;-0.63;-2.12;-50.59
10.395;;;;4.22;-1.53;-46.97
10.400;;;;0.04;-2.80;-51.42
10.405;;;;2.81;-0.03;-45.16
10.410;;;;2.45;1.96;-45.44
10.415;;;;0.25;-0.21;-47.85
10.420;;;;0.76;-1.50;-50.23
10.425;;;;0.27;-1.96;-49.83
10.430;;;;-0.48;-1.59;-50.39
10.435;;;;-1.66;2.87;-48.19
10.440;;;;-0.25;-1.15;-45.60
10.445;;;;1.86;-0.13;-45.50
10.450;;;;-0.39;0.39;-46.42
10.455;;;;-0.37;-2.60;-49.45
10.460;;;;2.96;-0.01;-47.22
10.465;;;;7.63;0.69;-42.06
10.470;;;;-2.75;0.32;-44.75
10.475;;;;-0.72;-1.44;-48.65
10.480;;;;1.10;-2.27;-48.12
10.485;;;;4.20;2.40;-41.92
10.490;;;;1.98;1.53;-39.87
10.495;;;;0.60;-0.59;-45.39
10.500;;;;1.86;-1.81;-43.13
10.505;;;;-1.05;-3.11;-46.19
10.510;;;;-1.81;-1.46;-47.40
10.515;;;;1.11;1.49;-42.70
10.520;;;;-0.80;-3.26;-41.05
10.525;;;;2.74;-4.41;-45.93
10.530;;;;1.31;-1.32;-44.48
10.535;;;;-1.14;-0.69;-45.93
10.540;;;;4.28;1.73;-40.76
10.545;;;;1.48;-0.13;-39.43
10.550;;;;2.28;2.24;-40.47
10.555;;;;2.00;-2.00;-42.79
10.560;;;;0.92;0.20;-42.46
10.565;;;;2.99;-3.65;-45.78
10.570;;;;1.84;-0.51;-41.13
10.575;;;;4.48;3.08;-37.72
10.580;;;;0.68;3.12;-38.89
10.585;;;;-0.14;-1.47;-43.20
10.590;;;;0.17;-1.74;-43.05
10.595;;;;0.63;0.18;-39.98
10.600;;;;2.11;-3.39;-39.81
10.605;;;;1.40;-1.39;-37.92
10.610;;;;1.57;-0.71;-38.98
10.615;;;;0.54;-1.52;-43.47
10.620;;;;0.50;-0.17;-42.40
10.625;;;;2.39;-1.77;-40.83
10.630;;;;3.73;-0.74;-40.90
10.635;;;;5.57;-0.12;-38.20
10.640;;;;0.10;1.20;-39.66
10.645;;;;1.85;0.83;-37.28
10.650;;;;0.33;-5.79;-41.64
10.655;;;;0.33;-3.84;-40.94
10.660;;;;-0.96;-0.89;-40.46
10.665;;;;-1.63;-2.11;-38.61
10.670;;;;-0.06;-0.84;-42.11
10.675;;;;-0.48;-1.37;-40.06
10.680;;;;2.46;0.69;-38.85
10.685;;;;2.99;-2.42;-43.10
10.690;;;;-4.72;-0.71;-42.60
10.695;;;;-1.14;-3.72;-45.76
10.700;;;;0.65;3.01;-38.92
10.705;;;;-1.49;-0.15;-44.00
10.710;;;;1.56;0.57;-38.33
10.715;;;;0.60;-1.71;-38.08
10.720;;;;1.31;2.56;-36.31
10.725;;;;1.06;-0.15;-36.33
10.730;;;;-1.94;-1.19;-38.83
10.735;;;;1.19;0.16;-37.36
10.740;;;;1.87;0.83;-39.94
10.745;;;;1.96;-2.17;-40.42
10.750;;;;-1.28;-2.84;-40.45
10.755;;;;-0.12;-3.19;-38.78
10.760;;;;-2.50;-1.19;-39.20
10.765;;;;2.12;-1.27;-38.25
10.770;;;;-0.80;-0.26;-39.74
10.775;;;;-1.02;0.78;-38.69
10.780;;;;-0.82;-0.76;-39.61
10.785;;;;-0.96;-3.96;-39.38
10.790;;;;5.24;1.37;-34.10
10.795;;;;2.54;-0.67;-33.34
10.800;;;;-2.06;0.00;-37.82
10.805;;;;0.90;3.87;-31.63
10.810;;;;-0.45;-1.23;-36.00
10.815;;;;-0.29;-0.24;-37.82
10.820;;;;0.03;-2.30;-38.72
10.825;;;;2.23;-0.83;-33.73
10.830;;;;-0.24;-1.82;-32.91
10.835;;;;0.96;-0.99;-35.66
10.840;;;;-0.74;1.06;-33.55
10.845;;;;0.77;-1.74;-33.25
10.850;;;;-0.17;-1.86;-37.07
10.855;;;;0.87;0.15;-37.43
10.860;;;;-0.34;-2.28;-38.18
10.865;;;;3.34;-3.48;-36.49
10.870;;;;1.57;0.69;-32.04
10.875;;;;2.72;-3.11;-28.93
10.880;;;;-0.90;0.27;-33.26
10.885;;;;0.98;-0.44;-30.97
10.890;;;;-0.90;-0.25;-32.33
10.895;;;;0.87;0.43;-32.11
10.900;;;;1.59;-1.01;-32.94
10.905;;;;-0.97;1.52;-33.90
10.910;;;;1.89;-0.39;-34.16
10.915;;;;0.97;1.29;-31.16
10.920;;;;1.21;-1.75;-32.24
10.925;;;;-1.70;-2.76;-35.30
10.930;;;;-0.06;-2.73;-35.21
10.935;;;;2.12;-0.78;-36.33
10.940;;;;1.65;-3.16;-35.36
10.945;;;;2.83;0.22;-30.54
10.950;;;;3.93;0.24;-26.97
10.955;;;;-0.53;-0.69;-29.00
10.960;;;;-2.04;-0.84;-32.78
10.965;;;;1.63;-0.57;-30.89
10.970;;;;3.93;-2.50;-23.46
10.975;;;;-1.85;-2.25;-29.88
10.980;;;;4.07;1.93;-29.51
10.985;;;;-0.14;-2.55;-32.22
10.990;;;;0.47;-2.78;-32.45
10.995;;;;-0.58;-0.69;-33.01
11.000;;;;-0.69;-3.17;-31.62
11.005;;;;-1.64;-2.57;-33.28
11.010;;;;-0.51;-0.90;-31.07
11.015;;;;2.89;2.78;-28.69
11.020;;;;2.04;-3.11;-28.92
11.025;;;;0.84;-0.44;-31.51
11.030;;;;-2.40;-4.14;-29.89
11.035;;;;-2.08;-2.10;-30.22
11.040;;;;0.27;-0.64;-30.86
11.045;;;;2.79;-1.34;-26.42
11.050;;;;5.14;2.44;-23.79
11.055;;;;2.86;-3.06;-24.76
11.060;;;;0.59;-3.52;-27.71
11.065;;;;5.65;-1.35;-22.95
11.070;;;;-2.12;-3.18;-25.00
11.075;;;;0.41;-2.71;-29.27
11.080;;;;-0.96;-0.61;-28.58
11.085;;;;-0.36;1.24;-27.04
11.090;;;;0.40;-1.48;-28.27
11.095;;;;1.90;-2.51;-30.07
11.100;;;;-0.65;0.09;-30.31
11.105;;;;-2.41;-0.97;-30.01
11.110;;;;0.97;0.94;-27.64
11.115;;;;1.10;-1.12;-28.09
11.120;;;;2.19;0.76;-25.67
11.125;;;;-0.70;-0.66;-25.09
11.130;;;;-3.26;-2.00;-28.37
11.135;;;;-0.34;-0.10;-26.02
11.140;;;;3.24;2.42;-23.04
11.145;;;;2.89;-1.48;-26.75
11.150;;;;2.77;-6.66;-24.53
11.155;;;;-1.15;1.34;-25.49
11.160;;;;1.50;-0.22;-21.80
11.165;;;;2.22;-2.42;-22.99
11.170;;;;1.18;-1.02;-20.90
11.175;;;;2.78;-0.03;-22.22
11.180;;;;1.29;-1.32;-24.87
11.185;;;;2.07;-2.51;-22.37
11.190;;;;0.90;-1.36;-21.71
11.195;;;;-3.73;0.13;-22.08
11.200;;;;1.91;1.45;-20.63
11.205;;;;1.71;2.49;-23.23
11.210;;;;-0.15;-0.78;-25.89
11.215;;;;0.31;0.99;-22.41
11.220;;;;-2.44;0.07;-28.19
11.225;;;;-1.58;-0.03;-25.29
11.230;;;;1.96;0.45;-26.50
11.235;;;;1.54;-2.58;-25.92
11.240;;;;0.58;-2.79;-25.96
11.245;;;;-0.54;-2.22;-22.64
11.250;;;;2.02;-1.60;-25.31
11.255;;;;-0.10;2.31;-22.43
11.260;;;;0.00;-1.84;-20.41
11.265;;;;-2.14;1.85;-22.59
11.270;;;;0.19;1.40;-24.19
11.275;;;;0.28;-0.88;-24.30
11.280;;;;-0.40;-3.01;-19.81
11.285;;;;1.14;-0.41;-20.41
11.290;;;;0.33;-1.11;-19.73
11.295;;;;2.66;0.07;-18.91
11.300;;;;0.02;0.78;-22.74
11.305;;;;1.16;-1.62;-20.25
11.310;;;;-0.85;-2.75;-26.48
11.315;;;;3.13;-2.19;-21.91
11.320;;;;4.23;-0.92;-15.97
11.325;;;;-1.54;-0.44;-21.81
11.330;;;;1.01;-0.94;-21.02
11.335;;;;1.94;0.87;-20.73
11.340;;;;0.86;1.45;-22.25
11.345;;;;-1.70;-2.05;-19.67
11.350;;;;2.14;-4.17;-20.27
11.355;;;;2.80;-0.44;-21.63
11.360;;;;-0.65;-0.15;-20.42
11.365;;;;-1.72;-2.54;-21.20
11.370;;;;1.16;0.26;-19.19
11.375;;;;-0.63;-0.74;-17.25
11.380;;;;-0.85;-2.60;-19.38
11.385;;;;2.58;0.97;-17.35
11.390;;;;-1.64;-3.10;-21.07
11.395;;;;-2.51;-0.06;-23.52
11.400;;;;-1.54;-0.55;-22.39
11.405;;;;-0.33;-1.56;-19.64
11.410;;;;0.27;-2.44;-16.87
11.415;;;;2.28;-0.90;-15.33
11.420;;;;0.12;-2.13;-19.04
11.425;;;;-2.57;1.17;-17.30
11.430;;;;-0.68;1.49;-16.70
11.435;;;;-1.89;0.18;-17.99
11.440;;;;-2.08;0.94;-17.77
11.445;;;;4.32;-1.83;-15.21
11.450;;;;8.12;1.42;-8.72
11.455;;;;1.82;0.84;-14.69
11.460;;;;0.37;-0.65;-15.41
11.465;;;;0.74;-0.49;-15.20
11.470;;;;-3.46;-1.09;-20.59
11.475;;;;1.97;-3.14;-16.08
11.480;;;;5.58;-0.76;-10.26
11.485;;;;1.49;-1.35;-12.85
11.490;;;;-1.28;-0.22;-16.13
11.495;;;;-1.79;-1.18;-17.79
11.500;;;;0.97;-0.53;-15.24
11.505;;;;-0.09;-1.25;-13.83
11.510;;;;1.16;-0.78;-9.98
11.515;;;;2.33;-3.64;-11.82
11.520;;;;1.48;-0.81;-11.03
11.525;;;;-1.29;-3.41;-14.50
11.530;;;;1.63;-0.64;-15.96
11.535;;;;3.05;1.73;-11.35
11.540;;;;2.34;1.56;-13.20
11.545;;;;3.20;-0.52;-12.25
11.550;;;;-0.04;-6.87;-14.28
11.555;;;;2.24;-0.38;-13.37
11.560;;;;2.01;0.30;-12.92
11.565;;;;-1.37;-0.35;-15.06
11.570;;;;-1.18;-1.55;-13.24
11.575;;;;-0.69;-0.06;-13.67
11.580;;;;1.06;-2.21;-13.78
11.585;;;;0.90;-0.71;-15.28
11.590;;;;-4.21;-1.18;-13.11
11.595;;;;1.68;-2.13;-14.08
11.600;;;;1.00;-4.32;-13.55
11.605;;;;1.97;0.04;-9.62
11.610;;;;0.20;-1.07;-9.97
11.615;;;;0.55;-2.96;-8.57
11.620;;;;0.19;-1.34;-12.99
11.625;;;;2.50;-3.24;-11.02
11.630;;;;1.21;0.58;-11.17
11.635;;;;-0.11;0.58;-13.50
11.640;;;;-1.95;0.91;-13.42
11.645;;;;3.27;0.31;-7.46
11.650;;;;-2.49;-1.92;-13.21
11.655;;;;2.72;-0.28;-10.87
11.660;;;;3.25;-0.37;-7.49
11.665;;;;1.48;-1.69;-7.90
11.670;;;;3.17;-2.71;-9.24
11.675;;;;2.05;-0.25;-7.22
11.680;;;;1.25;1.27;-8.61
11.685;;;;0.51;-2.58;-10.13
11.690;;;;2.72;-0.75;-8.45
11.695;;;;2.78;-1.51;-6.77
11.700;;;;-0.17;-2.94;-11.14
11.705;;;;-1.91;-1.11;-10.22
11.710;;;;3.27;0.23;-5.27
11.715;;;;1.53;0.65;-7.36
11.720;;;;1.58;0.45;-8.50
11.725;;;;-1.57;-1.94;-10.54
11.730;;;;0.17;0.35;-9.26
11.735;;;;-3.95;-1.63;-9.11
11.740;;;;-1.53;-1.43;-8.72
11.745;;;;0.07;1.05;-7.06
11.750;;;;3.92;0.29;-7.11
11.755;;;;1.53;3.39;-5.67
11.760;;;;1.04;-0.28;-4.24
11.765;;;;-0.66;0.82;-7.90
11.770;;;;2.15;0.60;-4.21
11.775;;;;2.08;0.52;-0.54
11.780;;;;3.40;0.59;-1.19
11.785;;;;3.12;-3.46;-2.14
11.790;;;;-2.82;-2.22;-5.53
11.795;;;;1.46;-0.24;-6.37
11.800;;;;1.00;1.64;-4.30
11.805;;;;-1.23;-0.50;-6.36
11.810;;;;-0.62;0.55;-7.74
11.815;;;;1.31;1.09;-1.64
11.820;;;;0.90;-1.27;-2.65
11.825;;;;3.51;-1.65;-1.84
11.830;;;;1.27;-2.09;-2.36
11.835;;;;3.21;0.43;-1.46
11.840;;;;2.82;-1.35;-0.63
11.845;;;;0.76;-1.63;-2.98
11.850;;;;0.47;1.90;-3.56
11.855;;;;5.27;0.19;-0.77
11.860;;;;0.57;-3.24;-0.87
11.865;;;;0.86;-0.58;-3.06
11.870;;;;3.31;-2.20;0.85
11.875;;;;3.60;-0.93;2.93
11.880;;;;-0.01;-3.15;-0.35
11.885;;;;0.09;-0.46;-2.28
11.890;;;;-3.30;-0.57;-8.23
11.895;;;;1.16;-2.24;-7.20
11.900;;;;3.74;0.23;0.11
11.905;;;;-0.94;-0.88;-5.64
11.910;;;;-1.69;-0.69;-4.32
11.915;;;;2.94;-2.90;-2.06
11.920;;;;2.95;1.27;0.90
11.925;;;;4.17;0.92;-1.69
11.930;;;;5.35;-1.29;2.90
11.935;;;;-0.27;-1.55;-1.42
11.940;;;;-0.44;-0.25;0.25
11.945;;;;2.17;2.18;2.63
11.950;;;;1.47;-0.97;2.92
11.955;;;;1.17;-0.74;0.15
11.960;;;;3.69;-3.41;2.64
11.965;;;;1.44;-0.83;2.54
11.970;;;;2.24;1.03;3.20
11.975;;;;4.96;-2.32;4.04
11.980;;;;1.38;0.63;0.89
11.985;;;;-0.03;-2.73;0.23
11.990;;;;1.68;-0.26;0.89
11.995;;;;-0.29;-0.24;-1.25
12.000;;;;3.97;-3.12;3.75
